Callsign,Station Name,State,City,Postcode,Community of Interest,Suitability for Love Banana,Music Receptive,Submission Method,Contact Email,Website / Portal URL,Recommended Action,Notes
6RCI,6RCI Community Radio,WA,CHRISTMAS ISLAND,6798,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@6rci.net,https://www.6rci.net/,Pitch directly to Music Department (info@6rci.net),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for CHRISTMAS ISLAND WA.
Bunbury 103.7,Bunbury 103.7,WA,Gelorup,6230,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@bunburycommunityradio.com,http://www.bunburycommunityradio.com,Pitch directly to Music Department (info@bunburycommunityradio.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for Gelorup WA.
,Collie Community Radio,WA,COLLIE,6225,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@colliecommunityradio.com.au,http://www.colliecommunityradio.com.au/,Pitch directly to Music Department (info@colliecommunityradio.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for COLLIE WA.
6NR,Curtin FM 100.1,WA,PERTH,6845,Educational,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@curtinfm.com.au,http://www.curtinfm.com.au,Pitch directly to Music Department (info@curtinfm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Educational. Community broadcaster for PERTH WA.
,DBCR,WA,DONNYBROOK,6239,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@dbcr.com.au,https://dbcr.com.au/,Pitch directly to Music Department (info@dbcr.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for DONNYBROOK WA.
6CRA,Great Southern FM,WA,ALBANY,6330,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@greatsouthernfm.com,http://www.greatsouthernfm.com,Pitch directly to Music Department (info@greatsouthernfm.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ALBANY WA.
6HRV,Harvey Community Radio 96.5fm,WA,HARVEY,6220,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@harveycommunityradiofm.com.au,https://www.harveycommunityradiofm.com.au/,Pitch directly to Music Department (info@harveycommunityradiofm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for HARVEY WA.
6MKA,Meeka FM,WA,MEEKATHARRA,6642,General,Regional Community Radio (General Music / Aussie Rock),Yes,Email or Amrap,,https://www.facebook.com/Meeka-FM-983-Community-Radio-Station227254139815,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for MEEKATHARRA WA.
,Ngaarda Media,WA,ROEBOURNE,6718,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@ngaardamedia.com.au,http://ngaardamedia.com.au/,Pitch directly to Music Department (info@ngaardamedia.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for ROEBOURNE WA.
6NME,Noongar Radio,WA,PERTH BC,6849,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@noongarradio.com,http://www.noongarradio.com,Pitch directly to Music Department (info@noongarradio.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for PERTH BC WA.
6ACR,PAKAM Radio Network,WA,Broome,6725,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,admin@pakam.com.au,https://pakam.com.au/,Pitch directly to Music Department (admin@pakam.com.au),Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for Broome WA.
6PRK,Puranyangu-Rangka Kerrem / PRK,WA,HALLS CREEK,6770,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,admin@prkradio.com.au,http://www.prkradio.com.au,Pitch directly to Music Department (admin@prkradio.com.au),Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for HALLS CREEK WA.
6GME,Radio Goolarri,WA,BROOME,6725,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@goolarri.com,https://goolarri.com/radio/,Pitch directly to Music Department (info@goolarri.com),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for BROOME WA.
,Radio MAMA 100.5 FM Geraldton,WA,GERALDTON PO,6531,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@mama.net.au,https://www.mama.net.au/,Pitch directly to Music Department (info@mama.net.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for GERALDTON PO WA.
,Radio VCA 88.5FM,WA,ELLENBROOK,6069,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@885fm.com.au,https://885fm.com.au/,Pitch directly to Music Department (info@885fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for ELLENBROOK WA.
6PAC,Tjuma Pulka 96.3FM,WA,KALGOORLIE DC,6433,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@tjuma963fm.com.au,http://www.tjuma963fm.com.au,Pitch directly to Music Department (info@tjuma963fm.com.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for KALGOORLIE DC WA.
6YCR,Voice of the Avon 101.3fm,WA,YORK,6302,General,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@voiceoftheavon.org.au,http://www.voiceoftheavon.org.au,Pitch directly to Music Department (info@voiceoftheavon.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for YORK WA.
6FX,Wangki Yupurnanupurru Radio,WA,FITZROY CROSSING,6765,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,admin@wangki.org.au,http://www.wangki.org.au/,Pitch directly to Music Department (admin@wangki.org.au),Best submitted via Amrap (broadcasters download tracks directly from Amrap) — Format: Indigenous. Community broadcaster for FITZROY CROSSING WA.
6WR,Waringarri Radio 6WR,WA,KUNUNURRA,6743,Indigenous,High Priority (Regional Community (WA)),Yes (Direct Email),Direct Email Pitch,info@waringarrimedia.org.au,http://www.waringarrimedia.org.au,Pitch directly to Music Department (info@waringarrimedia.org.au),Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: Indigenous. Community broadcaster for KUNUNURRA WA.
